id,status,usage,weekday,month,day,hours,minutes
1,1,0.194,2,9,25,2,39
2,1,1.0,2,9,25,6,19
2,1,1.0,2,9,25,6,24
1,1,0.278,2,9,25,5,59
2,1,0.968,2,9,25,6,9
2,1,1.0,2,9,25,6,14
2,1,0.613,2,9,25,9,44
2,1,0.613,2,9,25,9,49
1,1,0.571,2,9,25,10,19
2,1,0.645,2,9,25,9,39
1,1,0.686,2,9,25,10,4
1,1,0.629,2,9,25,10,9
2,1,0.581,2,9,25,13,49
1,1,0.611,2,9,25,13,54
1,1,0.611,2,9,25,13,29
2,1,0.0,2,9,25,16,24
1,1,0.389,2,9,25,16,24
2,1,0.0,2,9,25,16,34
2,1,0.065,2,9,25,16,44
2,1,0.548,2,9,25,16,54
1,1,0.389,2,9,25,16,49
2,1,0.548,2,9,25,17,4
2,1,0.032,2,9,25,16,29
1,1,0.389,2,9,25,16,39
2,1,0.581,2,9,25,16,59
1,1,0.361,2,9,25,21,34
1,1,0.361,2,9,25,21,19
1,1,0.361,2,9,25,21,9
1,1,0.25,3,9,26,1,9
1,1,0.25,3,9,26,0,59
2,1,0.0,3,9,26,0,34
2,1,0.0,3,9,26,3,59
2,1,0.0,3,9,26,3,44
2,1,0.0,3,9,26,3,39
1,1,0.25,3,9,26,3,34
1,1,0.25,3,9,26,4,9
2,1,1.0,3,9,26,6,39
2,1,0.677,3,9,26,6,49
2,1,0.839,3,9,26,7,4
1,1,0.472,3,9,26,7,4
2,1,1.0,3,9,26,6,34
1,1,0.389,3,9,26,6,34
2,1,0.968,3,9,26,6,24
2,1,0.333,3,9,26,10,29
2,1,0.129,3,9,26,10,49
1,1,0.444,3,9,26,10,49
2,1,0.516,3,9,26,15,14
2,1,0.419,3,9,26,18,59
2,1,0.129,3,9,26,22,44
2,1,0.226,3,9,26,22,19
1,1,0.222,3,9,26,22,19
1,1,0.222,3,9,26,22,39
2,1,0.226,3,9,26,22,4
1,1,0.222,4,9,27,2,14
2,1,0.129,4,9,27,1,54
1,1,0.25,4,9,27,5,39
1,1,0.278,4,9,27,5,49
2,1,0.613,4,9,27,9,49
1,1,0.5,4,9,27,9,49
2,1,0.613,4,9,27,12,59
2,1,0.516,4,9,27,13,34
1,1,0.5,4,9,27,13,4
2,1,0.581,4,9,27,13,24
1,1,0.057,4,9,27,17,9
2,1,0.387,4,9,27,17,4
1,1,0.0,4,9,27,20,24
1,1,0.0,4,9,27,20,29
2,1,0.065,5,9,28,0,4
1,1,0.0,4,9,27,23,59
1,1,0.0,4,9,27,23,49
1,1,0.0,4,9,27,23,34
1,1,0.029,5,9,28,3,49
2,1,0.161,5,9,28,3,9
1,1,0.029,5,9,28,3,19
2,1,0.484,5,9,28,6,9
1,1,0.029,5,9,28,6,9
1,1,0.417,5,9,28,11,34
2,1,0.29,5,9,28,11,39
1,1,0.417,5,9,28,11,59
2,1,0.258,5,9,28,11,44
1,1,0.389,5,9,28,15,39
2,1,0.194,5,9,28,15,4
1,1,0.389,5,9,28,15,44
2,1,0.419,5,9,28,15,29
1,1,0.389,5,9,28,15,9
1,1,0.389,5,9,28,15,34
2,1,0.194,5,9,28,18,4
1,1,0.417,5,9,28,18,29
2,1,0.258,5,9,28,18,19
2,1,0.226,5,9,28,22,9
2,1,0.194,6,9,29,1,4
2,1,0.194,6,9,29,4,29
2,1,0.194,6,9,29,5,4
1,1,0.389,6,9,29,5,9
2,1,0.194,6,9,29,4,34
1,1,0.389,6,9,29,4,34
2,1,0.226,6,9,29,8,29
1,1,0.389,6,9,29,8,29
2,1,0.226,6,9,29,8,9
2,1,0.226,6,9,29,8,34
2,1,0.29,6,9,29,13,4
1,1,0.306,6,9,29,13,19
1,1,0.306,6,9,29,13,9
1,1,0.306,6,9,29,12,44
2,1,0.258,6,9,29,12,59
2,1,0.097,6,9,29,16,49
1,1,0.306,6,9,29,16,49
2,1,0.129,6,9,29,16,44
2,1,0.097,6,9,29,16,54
1,1,0.306,6,9,29,16,54
2,1,0.0,6,9,29,20,44
1,1,0.222,6,9,29,20,44
1,1,0.278,6,9,29,20,9
2,1,0.0,6,9,29,20,14
2,1,0.0,0,9,30,0,24
1,1,0.056,6,9,29,23,59
1,1,0.056,0,9,30,0,29
1,1,0.028,0,9,30,3,49
1,1,0.028,0,9,30,3,59
2,1,0.613,0,9,30,8,24
2,1,0.645,0,9,30,8,19
2,1,0.774,0,9,30,8,39
1,1,0.556,0,9,30,8,14
2,1,0.742,0,9,30,8,34
1,1,0.556,0,9,30,8,34
2,1,0.581,0,9,30,8,9
2,1,0.71,0,9,30,11,44
2,1,0.645,0,9,30,11,34
1,1,0.472,0,9,30,11,34
2,1,0.613,0,9,30,11,29
1,1,0.472,0,9,30,11,29
1,1,0.306,0,9,30,15,9
1,1,0.25,0,9,30,15,19
2,1,0.065,0,9,30,18,49
1,1,0.0,0,9,30,18,49
1,1,0.0,0,9,30,19,14
1,1,0.0,0,9,30,22,19
2,1,0.0,0,9,30,22,39
1,1,0.0,1,10,1,1,44
1,1,0.0,1,10,1,1,39
2,1,0.032,1,10,1,5,9
2,1,0.032,1,10,1,5,34
2,1,0.484,1,10,1,9,54
2,1,0.452,1,10,1,9,44
1,1,0.444,1,10,1,9,44
1,1,0.306,1,10,1,12,19
1,1,0.306,1,10,1,12,44
2,1,0.677,1,10,1,12,39
2,1,0.71,1,10,1,12,49
2,1,0.71,1,10,1,12,54
1,1,0.306,1,10,1,12,54
1,1,0.028,1,10,1,16,34
1,1,0.0,1,10,1,16,9
1,1,0.0,1,10,1,20,29
2,1,0.065,1,10,1,20,34
2,1,0.032,2,10,2,0,4
2,1,0.032,1,10,1,23,29
2,1,0.065,1,10,1,23,39
1,1,0.0,2,10,2,4,9
2,1,0.065,2,10,2,3,54
1,1,0.0,2,10,2,3,59
1,1,0.0,2,10,2,4,4
2,1,0.065,2,10,2,4,24
1,1,0.528,2,10,2,6,54
2,1,1.0,2,10,2,7,4
1,1,0.694,2,10,2,7,4
1,1,0.639,2,10,2,6,59
1,1,0.5,2,10,2,6,49
2,1,0.452,2,10,2,10,59
1,1,0.639,2,10,2,10,59
2,1,0.258,2,10,2,10,54
2,1,0.484,2,10,2,11,9
1,1,0.667,2,10,2,11,9
1,1,0.667,2,10,2,11,4
1,1,0.667,2,10,2,14,34
2,1,0.065,2,10,2,19,14
1,1,0.333,2,10,2,18,54
2,1,0.032,2,10,2,22,14
1,1,0.139,3,10,3,2,44
1,1,0.139,3,10,3,2,29
2,1,0.0,3,10,3,2,34
1,1,0.139,3,10,3,2,34
2,1,0.0,3,10,3,2,24
1,1,0.306,3,10,3,6,9
1,1,0.333,3,10,3,6,24
2,1,0.71,3,10,3,6,29
1,1,0.722,3,10,3,10,9
1,1,0.722,3,10,3,9,54
2,1,0.419,3,10,3,10,4
1,1,0.5,3,10,3,13,29
1,1,0.194,2,9,25,0,4
2,1,0.0,2,9,25,0,19
1,1,0.194,2,9,25,0,14
1,1,0.194,2,9,25,0,24
2,1,0.0,2,9,25,0,29
1,1,0.194,2,9,25,0,29
1,1,0.194,2,9,25,3,39
2,1,0.0,2,9,25,3,59
1,1,0.194,2,9,25,3,44
1,1,0.667,2,9,25,7,29
2,1,0.645,2,9,25,7,34
2,1,0.645,2,9,25,7,39
1,1,0.583,2,9,25,12,34
2,0,0.516,2,9,25,12,19
1,1,0.583,2,9,25,12,29
1,1,0.556,2,9,25,11,59
2,0,0.516,2,9,25,12,9
1,1,0.583,2,9,25,12,4
1,1,0.444,2,9,25,15,39
2,1,0.355,2,9,25,15,44
1,1,0.361,2,9,25,19,34
1,1,0.361,2,9,25,19,29
2,1,0.0,2,9,25,19,39
2,1,0.0,2,9,25,19,49
2,1,0.0,2,9,25,20,4
2,1,0.0,2,9,25,19,24
2,1,0.032,2,9,25,23,9
2,1,0.032,2,9,25,23,29
1,1,0.306,2,9,25,23,44
1,1,0.306,2,9,25,23,39
1,1,0.25,3,9,26,3,14
1,1,0.25,3,9,26,2,49
2,1,0.0,3,9,26,3,4
1,1,0.25,3,9,26,3,4
2,1,0.0,3,9,26,3,24
1,1,0.25,3,9,26,3,24
2,1,0.0,3,9,26,3,29
1,1,0.25,3,9,26,3,29
2,1,0.0,3,9,26,3,9
1,1,0.25,3,9,26,3,9
2,1,0.129,3,9,26,5,44
2,1,0.419,3,9,26,5,54
2,1,0.935,3,9,26,6,14
2,1,0.29,3,9,26,5,49
2,1,0.903,3,9,26,8,39
2,1,0.935,3,9,26,8,44
1,1,0.528,3,9,26,8,44
2,1,0.935,3,9,26,9,9
1,1,0.528,3,9,26,9,9
2,1,0.935,3,9,26,8,49
1,1,0.528,3,9,26,8,59
1,1,0.5,3,9,26,13,4
1,1,0.528,3,9,26,12,39
1,1,0.528,3,9,26,12,24
2,1,0.613,3,9,26,12,59
1,1,0.306,3,9,26,16,14
2,1,0.387,3,9,26,16,19
1,1,0.222,3,9,26,20,29
1,1,0.222,3,9,26,20,9
2,1,0.129,3,9,26,23,59
1,1,0.222,4,9,27,0,9
2,1,0.129,3,9,26,23,39
2,1,0.032,4,9,27,3,49
1,1,0.222,4,9,27,3,19
2,1,0.032,4,9,27,3,34
1,1,0.222,4,9,27,3,34
2,1,0.032,4,9,27,3,54
1,1,0.222,4,9,27,3,29
2,1,0.032,4,9,27,3,39
1,1,0.222,4,9,27,3,39
2,1,0.032,4,9,27,3,44
2,1,0.871,4,9,27,8,9
2,1,0.871,4,9,27,8,24
2,1,0.581,4,9,27,11,39
1,1,0.389,4,9,27,11,39
2,1,0.774,4,9,27,11,59
1,1,0.444,4,9,27,11,59
2,1,0.774,4,9,27,12,4
1,1,0.389,4,9,27,11,34
1,1,0.5,4,9,27,14,29
2,1,0.226,4,9,27,14,34
2,1,0.0,4,9,27,14,59
2,1,0.161,4,9,27,18,24
1,1,0.029,4,9,27,18,14
2,1,0.032,4,9,27,18,49
2,1,0.258,4,9,27,18,9
1,1,0.057,4,9,27,18,9
1,1,0.029,4,9,27,18,34
2,1,0.097,4,9,27,22,49
2,1,0.097,4,9,27,22,59
2,1,0.097,4,9,27,23,9
2,1,0.097,4,9,27,22,44
2,1,0.161,5,9,28,2,59
1,1,0.029,5,9,28,2,34
1,1,0.029,5,9,28,3,4
2,1,0.871,5,9,28,7,19
2,1,0.548,5,9,28,9,54
1,1,0.361,5,9,28,9,54
2,1,0.484,5,9,28,10,9
2,1,0.355,5,9,28,10,14
2,1,0.484,5,9,28,9,59
2,1,0.387,5,9,28,13,34
1,1,0.389,5,9,28,13,54
2,1,0.323,5,9,28,14,4
2,1,0.355,5,9,28,17,19
2,1,0.258,5,9,28,17,49
2,1,0.194,5,9,28,17,44
2,1,0.29,5,9,28,17,29
2,1,0.355,5,9,28,17,14
1,1,0.417,5,9,28,21,4
1,1,0.389,6,9,29,1,39
2,1,0.194,6,9,29,1,59
2,1,0.194,6,9,29,1,49
1,1,0.389,6,9,29,5,49
1,1,0.389,6,9,29,5,54
1,1,0.361,6,9,29,9,29
2,1,0.29,6,9,29,9,9
1,1,0.361,6,9,29,9,9
2,1,0.258,6,9,29,9,14
1,1,0.361,6,9,29,9,19
1,1,0.389,6,9,29,9,4
1,1,0.361,6,9,29,12,29
2,1,0.258,6,9,29,12,19
1,1,0.361,6,9,29,12,19
2,1,0.226,6,9,29,16,14
2,1,0.323,6,9,29,15,59
1,1,0.306,6,9,29,15,39
2,1,0.29,6,9,29,16,4
1,1,0.306,6,9,29,16,4
2,1,0.0,6,9,29,19,59
2,1,0.0,6,9,29,23,9
2,1,0.0,6,9,29,23,14
1,1,0.056,6,9,29,23,44
2,1,0.0,6,9,29,23,19
1,1,0.361,0,9,30,6,54
2,1,0.935,0,9,30,6,34
1,1,0.472,0,9,30,7,4
1,1,0.333,0,9,30,6,49
1,1,0.417,0,9,30,10,54
1,1,0.444,0,9,30,10,34
1,1,0.472,0,9,30,10,24
2,1,0.677,0,9,30,10,59
1,1,0.417,0,9,30,10,49
2,1,0.581,0,9,30,14,4
1,1,0.389,0,9,30,14,19
2,1,0.516,0,9,30,14,29
1,1,0.361,0,9,30,14,39
1,1,0.0,0,9,30,17,49
2,1,0.0,0,9,30,18,14
1,1,0.0,0,9,30,18,14
1,1,0.0,0,9,30,18,24
1,1,0.0,0,9,30,17,54
1,1,0.0,0,9,30,22,14
1,1,0.0,0,9,30,21,34
1,1,0.0,0,9,30,21,44
1,1,0.0,0,9,30,21,39
2,1,0.0,1,10,1,2,34
1,1,0.0,1,10,1,2,34
2,1,0.129,1,10,1,5,49
1,1,0.083,1,10,1,6,9
1,1,0.444,1,10,1,8,34
2,1,0.548,1,10,1,9,14
2,1,0.677,1,10,1,8,44
2,1,0.645,1,10,1,13,29
1,1,0.306,1,10,1,13,29
1,1,0.0,1,10,1,17,9
1,1,0.0,1,10,1,17,4
2,1,0.29,1,10,1,16,54
1,1,0.0,1,10,1,17,24
1,1,0.0,1,10,1,19,59
2,1,0.097,1,10,1,19,44
2,1,0.129,1,10,1,20,4
1,1,0.0,1,10,1,20,9
2,1,0.065,2,10,2,0,49
1,1,0.0,2,10,2,0,9
2,1,0.065,2,10,2,0,19
2,1,0.065,2,10,2,0,44
1,1,0.0,2,10,2,0,44
2,1,0.065,2,10,2,0,39
2,1,0.065,2,10,2,3,14
1,1,0.0,2,10,2,3,14
2,1,0.065,2,10,2,3,19
1,1,0.0,2,10,2,3,19
2,1,0.065,2,10,2,3,44
1,1,0.0,2,10,2,3,44
2,1,0.065,2,10,2,3,39
2,1,0.677,2,10,2,7,49
2,1,0.516,2,10,2,7,34
1,1,0.75,2,10,2,7,34
2,1,0.677,2,10,2,8,4
2,1,0.484,2,10,2,8,14
2,1,0.548,2,10,2,11,44
1,1,0.667,2,10,2,11,44
1,1,0.667,2,10,2,11,59
2,1,0.613,2,10,2,11,39
1,1,0.667,2,10,2,11,39
2,1,0.484,2,10,2,11,24
1,1,0.667,2,10,2,11,34
1,1,0.556,2,10,2,15,34
1,1,0.611,2,10,2,15,4
2,1,0.065,2,10,2,15,14
1,1,0.556,2,10,2,15,24
1,1,0.389,2,10,2,18,39
2,1,0.0,2,10,2,18,19
1,1,0.417,2,10,2,18,4
1,1,0.417,2,10,2,18,14
2,1,0.032,2,10,2,22,34
1,1,0.194,2,10,2,22,44
2,1,0.032,2,10,2,23,14
2,1,0.032,2,10,2,23,4
1,1,0.139,3,10,3,1,59
2,1,0.0,3,10,3,1,49
1,1,0.139,3,10,3,2,9
1,1,0.167,3,10,3,4,59
1,1,0.167,3,10,3,4,25
1,1,0.75,3,10,3,9,14
1,1,0.778,3,10,3,8,59
2,1,0.935,3,10,3,9,9
1,1,0.778,3,10,3,9,9
2,1,0.419,3,10,3,12,19
2,1,0.0,2,9,25,1,39
1,1,0.222,2,9,25,5,29
2,1,0.29,2,9,25,5,44
2,1,0.065,2,9,25,5,24
1,1,0.722,2,9,25,8,54
2,1,1.0,2,9,25,12,59
1,1,0.583,2,9,25,12,39
2,1,0.71,2,9,25,13,9
1,1,0.417,2,9,25,17,34
2,1,0.323,2,9,25,17,44
1,1,0.417,2,9,25,17,39
1,1,0.389,2,9,25,17,9
2,1,0.097,2,9,25,20,49
1,1,0.361,2,9,25,20,49
2,1,0.0,2,9,25,20,14
2,1,0.0,2,9,25,20,24
2,1,0.0,2,9,25,20,9
1,1,0.361,2,9,25,20,29
1,1,0.25,3,9,26,2,9
1,1,0.25,3,9,26,2,34
2,1,0.0,3,9,26,2,44
1,1,0.25,3,9,26,5,29
1,1,0.25,3,9,26,5,14
1,1,0.25,3,9,26,5,4
2,1,0.065,3,9,26,5,29
2,1,0.742,3,9,26,9,34
2,1,0.806,3,9,26,9,54
1,1,0.528,3,9,26,9,29
2,1,0.452,3,9,26,13,44
2,1,0.419,3,9,26,13,29
1,1,0.528,3,9,26,13,19
2,1,0.548,3,9,26,13,9
1,1,0.25,3,9,26,17,4
2,1,0.387,3,9,26,17,19
2,1,0.29,3,9,26,16,54
2,1,0.387,3,9,26,16,59
1,1,0.25,3,9,26,17,34
2,1,0.355,3,9,26,20,59
2,1,0.387,3,9,26,20,39
1,1,0.194,3,9,26,20,49
1,1,0.194,3,9,26,20,54
2,1,0.129,4,9,27,0,19
1,1,0.222,4,9,27,0,19
2,1,0.129,4,9,27,0,59
2,1,0.129,4,9,27,0,29
1,1,0.222,4,9,27,0,29
2,1,0.129,4,9,27,0,44
2,1,0.032,4,9,27,4,24
1,1,0.222,4,9,27,4,24
2,1,0.032,4,9,27,4,4
2,1,0.032,4,9,27,4,34
2,1,0.032,4,9,27,4,39
2,1,0.032,4,9,27,4,29
1,1,0.5,4,9,27,7,24
2,1,0.613,4,9,27,7,39
2,1,0.323,4,9,27,10,59
2,1,0.419,4,9,27,11,4
2,1,0.194,4,9,27,10,44
1,1,0.417,4,9,27,11,19
1,1,0.417,4,9,27,11,9
1,1,0.306,4,9,27,15,44
2,1,0.0,4,9,27,15,24
1,1,0.333,4,9,27,15,14
1,1,0.222,4,9,27,15,54
1,1,0.278,4,9,27,15,49
2,1,0.065,4,9,27,19,19
1,1,0.0,4,9,27,19,19
1,1,0.0,4,9,27,19,9
1,1,0.0,4,9,27,22,19
2,1,0.097,4,9,27,22,4
2,1,0.097,4,9,27,21,54
1,1,0.0,4,9,27,22,24
2,1,0.097,4,9,27,22,29
1,1,0.029,5,9,28,1,49
1,1,0.029,5,9,28,5,44
2,1,0.355,5,9,28,5,49
1,1,0.361,5,9,28,9,14
2,1,0.581,5,9,28,9,29
1,1,0.361,5,9,28,9,9
2,1,0.548,5,9,28,9,34
2,1,0.258,5,9,28,12,24
2,1,0.258,5,9,28,12,14
1,1,0.417,5,9,28,12,14
2,1,0.355,5,9,28,12,39
1,1,0.417,5,9,28,12,44
1,1,0.389,5,9,28,16,14
2,1,0.323,5,9,28,16,19
2,1,0.323,5,9,28,16,4
2,1,0.355,5,9,28,15,49
2,1,0.258,5,9,28,19,54
1,1,0.417,5,9,28,20,9
2,1,0.258,5,9,28,19,44
1,1,0.417,5,9,28,20,4
1,1,0.417,5,9,28,19,39
2,1,0.258,5,9,28,19,34
1,1,0.417,5,9,28,19,34
1,1,0.417,5,9,28,23,14
1,1,0.417,5,9,28,23,19
2,1,0.194,6,9,29,4,9
2,1,0.194,6,9,29,4,14
1,1,0.389,6,9,29,3,49
1,1,0.389,6,9,29,4,19
1,1,0.389,6,9,29,6,59
2,1,0.194,6,9,29,6,44
2,1,0.194,6,9,29,6,54
2,1,0.194,6,9,29,7,9
2,1,0.226,6,9,29,10,39
1,1,0.361,6,9,29,10,39
2,1,0.161,6,9,29,11,4
2,1,0.194,6,9,29,10,29
1,1,0.361,6,9,29,10,29
2,1,0.194,6,9,29,10,59
2,1,0.194,6,9,29,10,24
1,1,0.306,6,9,29,15,34
2,1,0.355,6,9,29,15,4
2,1,0.355,6,9,29,15,29
1,1,0.306,6,9,29,14,59
1,1,0.25,6,9,29,18,39
2,1,0.0,6,9,29,19,19
1,1,0.25,6,9,29,19,19
1,1,0.25,6,9,29,18,54
2,1,0.0,6,9,29,19,9
1,1,0.25,6,9,29,18,49
2,1,0.0,6,9,29,22,34
1,1,0.056,6,9,29,22,34
2,1,0.0,6,9,29,22,39
2,1,0.0,6,9,29,22,59
1,1,0.056,6,9,29,22,59
2,1,0.0,6,9,29,22,54
1,1,0.056,6,9,29,22,24
2,1,0.0,6,9,29,22,44
1,1,0.056,6,9,29,22,29
2,1,0.0,0,9,30,3,9
1,1,0.028,0,9,30,3,29
1,1,0.111,0,9,30,5,59
1,1,0.083,0,9,30,5,54
1,1,0.167,0,9,30,6,14
2,1,0.71,0,9,30,9,54
1,1,0.5,0,9,30,9,54
1,1,0.556,0,9,30,9,34
1,1,0.528,0,9,30,9,39
2,1,0.903,0,9,30,12,39
2,1,0.677,0,9,30,12,59
2,1,0.0,0,9,30,16,54
2,1,0.0,0,9,30,16,39
1,1,0.0,0,9,30,16,39
2,1,0.0,1,10,1,0,19
2,1,0.0,0,9,30,23,54
1,1,0.0,0,9,30,23,54
2,1,0.0,1,10,1,0,9
1,1,0.0,1,10,1,3,34
2,1,0.0,1,10,1,3,54
1,1,0.0,1,10,1,3,54
1,1,0.0,1,10,1,3,44
1,1,0.0,1,10,1,3,24
1,1,0.0,1,10,1,3,49
1,1,0.0,1,10,1,4,4
1,1,0.306,1,10,1,7,44
2,1,0.806,1,10,1,7,24
2,1,0.677,1,10,1,7,9
1,1,0.333,1,10,1,12,4
1,1,0.306,1,10,1,11,44
2,1,0.484,1,10,1,11,39
1,1,0.306,1,10,1,11,39
2,1,0.71,1,10,1,12,9
2,1,0.194,1,10,1,15,19
1,1,0.056,1,10,1,15,44
1,1,0.083,1,10,1,15,34
1,1,0.0,1,10,1,19,19
2,1,0.065,1,10,1,19,4
2,1,0.032,1,10,1,22,59
1,1,0.0,1,10,1,23,14
1,1,0.0,1,10,1,23,9
2,1,0.032,1,10,1,22,39
2,1,0.032,1,10,1,23,4
2,1,0.065,2,10,2,1,54
2,1,0.065,2,10,2,1,39
2,1,0.065,2,10,2,2,4
1,1,0.0,2,10,2,1,44
2,1,0.065,2,10,2,2,14
2,1,1.0,2,10,2,6,4
1,1,0.306,2,10,2,6,9
2,1,1.0,2,10,2,6,14
2,1,0.194,2,10,2,10,4
2,1,0.355,2,10,2,10,19
1,1,0.694,2,10,2,10,24
2,1,0.484,2,10,2,9,49
1,1,0.722,2,10,2,9,54
2,1,0.452,2,10,2,13,54
1,1,0.667,2,10,2,13,39
2,1,0.355,2,10,2,13,59
1,1,0.667,2,10,2,13,59
1,1,0.667,2,10,2,13,49
1,1,0.417,2,10,2,17,19
2,1,0.032,2,10,2,17,59
2,1,0.0,2,10,2,17,49
1,1,0.417,2,10,2,17,49
1,1,0.417,2,10,2,17,34
1,1,0.417,2,10,2,17,54
1,1,0.333,2,10,2,21,14
1,1,0.139,3,10,3,0,44
2,1,0.0,3,10,3,0,59
1,1,0.167,3,10,3,5,39
2,1,0.968,3,10,3,8,44
1,1,0.806,3,10,3,8,24
2,1,0.645,3,10,3,13,4
2,1,0.323,3,10,3,12,49
2,1,0.581,3,10,3,13,14
1,1,0.472,3,10,3,13,14
1,1,0.194,2,9,25,1,14
2,1,0.0,2,9,25,0,49
2,1,0.0,2,9,25,0,59
2,1,0.0,2,9,25,0,44
1,1,0.194,2,9,25,0,44
1,1,0.194,2,9,25,4,49
2,1,0.0,2,9,25,5,4
1,1,0.194,2,9,25,5,4
2,1,0.0,2,9,25,4,39
1,1,0.722,2,9,25,8,14
2,1,0.774,2,9,25,8,39
2,1,0.806,2,9,25,8,29
1,1,0.5,2,9,25,11,19
1,1,0.5,2,9,25,11,14
1,1,0.528,2,9,25,11,34
2,1,0.323,2,9,25,15,19
2,1,0.258,2,9,25,15,24
1,1,0.444,2,9,25,15,34
1,1,0.361,2,9,25,18,54
1,1,0.361,2,9,25,18,49
1,1,0.361,2,9,25,19,19
2,1,0.0,2,9,25,19,9
1,1,0.361,2,9,25,19,9
1,1,0.333,2,9,25,22,59
2,1,0.032,2,9,25,22,29
2,1,0.903,3,9,26,8,34
2,1,0.806,3,9,26,8,9
1,1,0.528,3,9,26,7,59
1,1,0.528,3,9,26,11,54
2,1,0.871,3,9,26,12,19
2,1,0.774,3,9,26,12,4
2,1,0.548,3,9,26,11,49
2,1,0.032,3,9,26,15,49
2,1,0.387,3,9,26,15,29
1,1,0.333,3,9,26,15,54
2,1,0.484,3,9,26,19,44
2,1,0.452,3,9,26,19,19
2,1,0.387,3,9,26,19,9
1,1,0.222,3,9,26,19,9
2,1,0.161,3,9,26,23,14
2,1,0.129,3,9,26,22,49
2,1,0.129,4,9,27,2,34
2,1,0.097,4,9,27,3,14
2,1,0.097,4,9,27,2,44
2,1,0.097,4,9,27,2,59
1,1,0.222,4,9,27,2,39
1,1,0.222,4,9,27,2,49
1,1,0.222,4,9,27,3,4
1,1,0.389,4,9,27,6,44
2,1,0.742,4,9,27,6,19
1,1,0.417,4,9,27,6,54
2,1,0.323,4,9,27,6,29
1,1,0.444,4,9,27,6,24
2,1,0.516,4,9,27,6,49
1,1,0.417,4,9,27,6,39
2,1,0.29,4,9,27,10,19
2,1,0.258,4,9,27,10,34
2,1,0.258,4,9,27,10,24
1,1,0.472,4,9,27,10,4
1,1,0.417,4,9,27,10,39
1,1,0.5,4,9,27,14,14
2,1,0.226,4,9,27,14,24
2,1,0.645,4,9,27,13,59
2,1,0.032,4,9,27,17,29
1,1,0.057,4,9,27,17,49
1,1,0.0,4,9,27,21,39
1,1,0.0,4,9,27,21,24
2,1,0.065,5,9,28,1,4
1,1,0.0,5,9,28,1,19
2,1,0.097,5,9,28,1,29
2,1,0.226,5,9,28,4,59
1,1,0.029,5,9,28,4,59
2,1,0.226,5,9,28,5,9
1,1,0.029,5,9,28,5,9
1,1,0.361,5,9,28,8,49
1,1,0.361,5,9,28,8,54
1,1,0.361,5,9,28,8,59
2,1,0.355,5,9,28,13,4
1,1,0.389,5,9,28,13,19
2,1,0.355,5,9,28,17,4
2,1,0.355,5,9,28,16,44
1,1,0.389,5,9,28,16,54
2,1,0.355,5,9,28,16,39
1,1,0.417,5,9,28,20,24
1,1,0.417,5,9,28,20,29
2,1,0.226,5,9,28,20,39
1,1,0.417,6,9,29,0,14
2,1,0.194,6,9,29,0,29
1,1,0.389,6,9,29,0,39
1,1,0.417,6,9,29,0,9
1,1,0.389,6,9,29,3,9
2,1,0.194,6,9,29,3,24
1,1,0.389,6,9,29,3,39
2,1,0.194,6,9,29,3,14
1,1,0.389,6,9,29,3,34
2,1,0.194,6,9,29,7,54
1,1,0.361,6,9,29,11,49
1,1,0.361,6,9,29,11,19
1,1,0.361,6,9,29,11,34
2,1,0.161,6,9,29,11,9
1,1,0.306,6,9,29,14,29
1,1,0.25,6,9,29,18,9
2,1,0.0,6,9,29,18,29
1,1,0.194,6,9,29,21,59
1,1,0.056,6,9,29,22,14
2,1,0.0,6,9,29,22,19
2,1,0.0,6,9,29,21,39
2,1,0.0,0,9,30,2,34
1,1,0.056,0,9,30,2,9
1,1,0.028,0,9,30,5,29
2,1,0.774,0,9,30,9,9
1,1,0.556,0,9,30,9,9
2,1,0.742,0,9,30,9,4
1,1,0.556,0,9,30,9,14
2,1,0.774,0,9,30,8,54
1,1,0.556,0,9,30,9,19
1,1,0.5,0,9,30,13,39
2,1,0.71,0,9,30,13,34
1,1,0.5,0,9,30,13,34
1,1,0.528,0,9,30,13,24
1,1,0.5,0,9,30,13,44
2,1,0.0,0,9,30,17,24
1,1,0.0,0,9,30,17,39
2,1,0.226,0,9,30,17,34
1,1,0.0,0,9,30,17,44
2,1,0.0,1,10,1,0,34
1,1,0.0,1,10,1,0,34
1,1,0.0,1,10,1,0,49
2,1,0.0,1,10,1,4,19
2,1,0.0,1,10,1,4,14
2,1,1.0,1,10,1,8,14
1,1,0.444,1,10,1,8,14
1,1,0.306,1,10,1,10,59
1,1,0.306,1,10,1,11,29
1,1,0.306,1,10,1,11,19
2,1,0.613,1,10,1,14,54
1,1,0.25,1,10,1,14,44
1,1,0.25,1,10,1,15,9
2,1,0.355,1,10,1,14,39
1,1,0.25,1,10,1,14,39
2,1,0.032,1,10,1,18,14
1,1,0.0,1,10,1,18,39
2,1,0.032,1,10,1,22,34
1,1,0.0,1,10,1,22,34
2,1,0.032,1,10,1,22,9
1,1,0.0,1,10,1,21,59
1,1,0.0,1,10,1,22,19
1,1,0.0,1,10,1,22,4
1,1,0.0,2,10,2,2,39
2,1,0.065,2,10,2,2,59
1,1,0.0,2,10,2,2,59
1,1,0.0,2,10,2,2,24
1,1,0.0,2,10,2,2,44
1,1,0.167,2,10,2,5,19
2,1,1.0,2,10,2,5,59
2,1,0.71,2,10,2,5,54
1,1,0.222,2,10,2,5,44
